Table 1
Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Pos.,Player-additional
73,De'Aaron Fox,2021-12-11,23-356,SAC,@,CLE,L 103-117,1,25,6,14,0.429,6,11,0.545,0,3,0.000,1,1,1.000,0.450,0,6,6,1,1,0,1,2,13,7.3,-4.3,G,foxde01
74,De'Aaron Fox,2021-12-10,23-355,SAC,@,CHO,L 123-124,1,34,11,17,0.647,10,13,0.769,1,4,0.250,8,10,0.800,0.724,0,2,2,5,4,0,2,2,31,28.0,12.1,G,foxde01
75,De'Aaron Fox,2021-12-08,23-353,SAC,,ORL,W 142-130,1,33,12,18,0.667,10,16,0.625,2,2,1.000,7,8,0.875,0.767,0,3,3,1,1,1,1,4,33,25.5,4.6,G,foxde01
76,De'Aaron Fox,2021-12-04,23-349,SAC,,LAC,W 104-99,1,37,8,22,0.364,8,18,0.444,0,4,0.000,1,4,0.250,0.358,0,8,8,5,2,0,1,2,17,9.7,-4.6,G,foxde01
77,De'Aaron Fox,2021-12-01,23-346,SAC,@,LAC,W 124-115,1,36,7,14,0.500,5,10,0.500,2,4,0.500,8,9,0.889,0.668,0,3,3,5,3,1,1,2,24,22.9,6.9,G,foxde01
78,De'Aaron Fox,2021-11-30,23-345,SAC,,LAL,L 92-117,1,36,4,9,0.444,3,7,0.429,1,2,0.500,8,9,0.889,0.656,0,5,5,5,2,0,7,4,17,10.3,-5.7,G,foxde01
79,De'Aaron Fox,2021-11-28,23-343,SAC,@,MEM,L 101-128,1,21,4,12,0.333,2,7,0.286,2,5,0.400,2,3,0.667,0.450,0,4,4,2,0,2,0,1,12,8.4,2.7,G,foxde01
80,De'Aaron Fox,2021-11-26,23-341,SAC,@,LAL,W 141-137 (3OT),1,53,15,32,0.469,13,25,0.520,2,7,0.286,2,2,1.000,0.517,1,5,6,8,1,0,4,5,34,20.4,-1.7,G,foxde01
81,De'Aaron Fox,2021-11-24,23-339,SAC,,POR,W 125-121,1,27,8,13,0.615,7,10,0.700,1,3,0.333,4,4,1.000,0.711,0,2,2,6,1,0,5,3,21,14.7,1.0,G,foxde01
82,De'Aaron Fox,2021-11-22,23-337,SAC,,PHI,L 94-102,1,36,7,15,0.467,6,11,0.545,1,4,0.250,8,10,0.800,0.593,1,4,5,2,0,0,3,3,23,13.6,-0.3,G,foxde01
83,De'Aaron Fox,2021-11-20,23-335,SAC,,UTA,L 105-123,1,33,5,17,0.294,4,14,0.286,1,3,0.333,2,3,0.667,0.355,0,1,1,3,0,1,1,0,13,4.8,-10.5,G,foxde01
84,De'Aaron Fox,2021-11-19,23-334,SAC,,TOR,L 89-108,1,27,8,13,0.615,8,12,0.667,0,1,0.000,1,3,0.333,0.594,0,1,1,3,2,0,2,1,17,12.3,5.0,G,foxde01
85,De'Aaron Fox,2021-11-17,23-332,SAC,@,MIN,L 97-107,1,37,10,20,0.500,8,15,0.533,2,5,0.400,6,8,0.750,0.595,0,1,1,5,0,0,3,3,28,16.8,5.4,G,foxde01
86,De'Aaron Fox,2021-11-15,23-330,SAC,@,DET,W 129-107,1,33,8,19,0.421,7,15,0.467,1,4,0.250,2,3,0.667,0.468,1,5,6,9,3,0,0,4,19,18.4,2.0,G,foxde01
