Table 1
Rk,Player,WS,Season,Age,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
316,Keldon Johnson,0.5,2022-23,23,SAS,39,39,1258,291,691,197,411,94,280,163,209,32,160,192,102,29,8,85,76,839,0.421,0.479,0.336,0.780,0.536,0.489,G,johnske04
317,Markieff Morris,0.5,2022-23,33,BRK,21,1,237,29,68,10,27,19,41,10,10,10,39,49,22,6,4,12,26,87,0.426,0.370,0.463,1.000,0.601,0.566,F,morrima02
318,Gary Harris,0.5,2022-23,28,ORL,16,10,375,48,105,27,51,21,54,17,19,9,28,37,21,12,3,15,37,134,0.457,0.529,0.389,0.895,0.591,0.557,G,harriga01
319,Mark Williams,0.5,2022-23,21,CHO,14,0,182,31,55,31,55,0,0,22,30,20,59,79,5,8,8,12,23,84,0.564,0.564,,0.733,0.616,0.564,C,willima07
320,Jake LaRavia,0.5,2022-23,21,MEM,25,0,349,32,79,12,23,20,56,6,7,16,39,55,21,11,4,17,42,90,0.405,0.522,0.357,0.857,0.548,0.532,F,laravja01
321,Jamal Cain,0.5,2022-23,23,MIA,13,0,181,25,48,23,37,2,11,12,16,12,26,38,8,8,0,4,15,64,0.521,0.622,0.182,0.750,0.581,0.542,F,cainja01
322,Day'Ron Sharpe,0.5,2022-23,21,BRK,22,1,189,30,57,26,52,4,5,14,21,27,43,70,15,3,12,17,34,78,0.526,0.500,0.800,0.667,0.589,0.561,C,sharpda01
323,Jonathan Kuminga,0.5,2022-23,20,GSW,33,4,615,94,199,78,137,16,62,45,67,34,73,107,56,16,15,48,77,249,0.472,0.569,0.258,0.672,0.545,0.513,F,kuminjo01
324,Amir Coffey,0.5,2022-23,25,LAC,34,8,466,39,105,30,75,9,30,36,45,15,25,40,42,6,2,14,37,123,0.371,0.400,0.300,0.800,0.493,0.414,G,coffeam01
325,Wesley Matthews,0.5,2022-23,36,MIL,27,0,393,25,76,6,15,19,61,9,10,19,24,43,17,14,6,10,39,78,0.329,0.400,0.311,0.900,0.485,0.454,G,matthwe02
326,Caleb Houstan,0.5,2022-23,20,ORL,30,2,496,40,105,12,28,28,77,11,13,21,48,69,18,5,3,10,43,119,0.381,0.429,0.364,0.846,0.537,0.514,G-F,houstca01
327,Nassir Little,0.5,2022-23,22,POR,23,0,350,47,101,28,52,19,49,15,23,8,43,51,19,9,5,14,20,128,0.465,0.538,0.388,0.652,0.576,0.559,F,littlna01
328,Lindy Waters III,0.5,2022-23,25,OKC,18,0,206,26,66,3,5,23,61,5,7,7,24,31,15,6,6,5,17,80,0.394,0.600,0.377,0.714,0.579,0.568,G,waterli01
329,Haywood Highsmith,0.5,2022-23,26,MIA,32,9,634,59,147,34,73,25,74,6,16,36,89,125,24,27,10,29,48,149,0.401,0.466,0.338,0.375,0.484,0.486,F,highsha01
330,Goga Bitadze,0.5,2022-23,23,IND,19,0,189,27,49,23,35,4,14,9,18,20,23,43,18,8,10,10,34,67,0.551,0.657,0.286,0.500,0.589,0.592,C,bitadgo01
331,Dennis Smith Jr.,0.5,2022-23,25,CHO,23,11,589,79,186,68,143,11,43,16,24,10,54,64,111,37,12,33,54,185,0.425,0.476,0.256,0.667,0.471,0.454,G,smithde03
332,Precious Achiuwa,0.5,2022-23,23,TOR,21,0,390,61,150,50,102,11,48,39,49,35,77,112,20,9,13,22,33,172,0.407,0.490,0.229,0.796,0.501,0.443,F,achiupr01
333,Ochai Agbaji,0.4,2022-23,22,UTA,24,0,290,37,77,21,35,16,42,8,14,12,22,34,9,2,3,4,27,98,0.481,0.600,0.381,0.571,0.589,0.584,G,agbajoc01
334,Damian Jones,0.4,2022-23,27,LAL,19,1,169,20,36,20,33,0,3,15,20,18,36,54,4,3,11,8,16,55,0.556,0.606,0.000,0.750,0.614,0.556,F-C,jonesda03
335,Duncan Robinson,0.4,2022-23,28,MIA,28,0,501,64,174,18,35,46,139,20,22,7,47,54,33,8,0,19,56,194,0.368,0.514,0.331,0.909,0.528,0.500,G-F,robindu01
336,Terry Rozier,0.4,2022-23,28,CHO,35,35,1245,275,668,187,396,88,272,91,109,37,110,147,184,28,6,85,64,729,0.412,0.472,0.324,0.835,0.509,0.478,G,roziete01
337,Terrence Ross,0.4,2022-23,31,ORL,40,9,898,123,287,66,134,57,153,15,20,10,73,83,50,25,7,37,52,318,0.429,0.493,0.373,0.750,0.538,0.528,F-G,rosste01
338,Otto Porter Jr.,0.4,2022-23,29,TOR,8,2,146,15,30,9,13,6,17,8,8,6,13,19,8,11,0,4,7,44,0.500,0.692,0.353,1.000,0.656,0.600,F,porteot01
339,Romeo Langford,0.4,2022-23,23,SAS,30,17,595,89,188,78,146,11,42,23,36,43,39,82,36,16,10,20,49,212,0.473,0.534,0.262,0.639,0.520,0.503,G,langfro01
340,KZ Okpala,0.4,2022-23,23,SAC,30,3,237,16,34,9,16,7,18,6,6,7,26,33,13,6,7,6,39,45,0.471,0.563,0.389,1.000,0.614,0.574,F,okpalkz01
341,Malachi Flynn,0.4,2022-23,24,TOR,32,1,472,62,165,27,74,35,91,13,17,10,40,50,49,11,3,16,48,172,0.376,0.365,0.385,0.765,0.499,0.482,G,flynnma01
342,Robin Lopez,0.4,2022-23,34,CLE,25,1,215,32,50,31,49,1,1,10,14,19,18,37,10,1,3,17,28,75,0.640,0.633,1.000,0.714,0.668,0.650,C,lopezro01
343,Luka Garza,0.4,2022-23,24,MIN,13,0,94,24,45,21,33,3,12,17,21,12,13,25,6,2,1,5,15,68,0.533,0.636,0.250,0.810,0.627,0.567,F-C,garzalu01
