Table 1
Rk,Player,WS,Season,Age,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
344,Dario Šarić,0.4,2022-23,28,PHO,26,9,353,47,115,28,64,19,51,17,19,22,61,83,37,9,2,25,40,130,0.409,0.438,0.373,0.895,0.527,0.491,F-C,saricda01
345,Isaiah Livers,0.4,2022-23,24,DET,25,8,509,48,119,15,25,33,94,15,20,15,48,63,16,10,14,14,45,144,0.403,0.600,0.351,0.750,0.563,0.542,F,liveris01
346,Kevon Harris,0.4,2022-23,25,ORL,26,0,328,32,76,21,48,11,28,22,27,22,30,52,12,12,3,16,35,97,0.421,0.438,0.393,0.815,0.552,0.493,G,harrike01
347,Dalano Banton,0.4,2022-23,23,TOR,22,2,222,44,104,31,61,13,43,14,17,9,23,32,26,12,12,13,24,115,0.423,0.508,0.302,0.824,0.516,0.486,G-F,bantoda01
348,Juan Toscano-Anderson,0.4,2022-23,29,LAL,24,7,320,29,56,25,38,4,18,8,11,11,44,55,21,10,7,15,40,70,0.518,0.658,0.222,0.727,0.575,0.554,F,toscaju01
349,Nathan Knight,0.4,2022-23,25,MIN,21,0,125,21,32,18,25,3,7,17,26,10,17,27,7,5,2,11,15,62,0.656,0.720,0.429,0.654,0.714,0.703,F-C,knighna01
350,Christian Braun,0.4,2022-23,21,DEN,40,1,529,52,117,40,78,12,39,13,23,22,52,74,19,11,7,16,40,129,0.444,0.513,0.308,0.565,0.507,0.496,G,braunch01
351,Cam Thomas,0.3,2022-23,21,BRK,28,0,398,63,150,51,115,12,35,50,64,3,34,37,39,10,4,21,26,188,0.420,0.443,0.343,0.781,0.528,0.460,G,thomaca02
352,Dāvis Bertāns,0.3,2022-23,30,DAL,26,0,288,37,92,7,11,30,81,10,12,5,20,25,9,5,3,7,32,114,0.402,0.636,0.370,0.833,0.586,0.565,F,bertada01
353,Eugene Omoruyi,0.3,2022-23,25,OKC,20,2,248,41,85,33,56,8,29,13,21,19,27,46,11,13,0,14,42,103,0.482,0.589,0.276,0.619,0.546,0.529,F,omorueu01
354,Joe Ingles,0.3,2022-23,35,MIL,13,0,274,30,80,9,17,21,63,8,9,6,24,30,52,6,2,22,18,89,0.375,0.529,0.333,0.889,0.530,0.506,F-G,inglejo01
355,Kemba Walker,0.3,2022-23,32,DAL,9,1,144,24,57,17,29,7,28,17,21,3,13,16,19,2,2,4,11,72,0.421,0.586,0.250,0.810,0.543,0.482,G,walkeke02
356,Udoka Azubuike,0.3,2022-23,23,UTA,15,0,63,12,14,12,14,0,0,2,6,10,17,27,5,2,3,3,5,26,0.857,0.857,,0.333,0.781,0.857,C,azubuud01
357,Killian Hayes,0.3,2022-23,21,DET,44,31,1172,176,444,123,286,53,158,34,42,17,108,125,252,55,16,84,124,439,0.396,0.430,0.335,0.810,0.475,0.456,G,hayeski01
358,Jabari Walker,0.3,2022-23,20,POR,28,0,254,24,59,21,43,3,16,14,21,27,39,66,16,3,5,11,34,65,0.407,0.488,0.188,0.667,0.476,0.432,F,walkeja01
359,Moussa Diabaté,0.3,2022-23,21,LAC,8,1,90,13,24,13,24,0,0,7,9,20,12,32,2,3,1,5,10,33,0.542,0.542,,0.778,0.590,0.542,F,diabamo01
360,Boban Marjanović,0.3,2022-23,34,HOU,15,0,60,15,22,15,21,0,1,11,14,7,15,22,3,1,1,4,2,41,0.682,0.714,0.000,0.786,0.728,0.682,C,marjabo01
361,Max Christie,0.3,2022-23,19,LAL,26,2,360,33,80,14,35,19,45,5,6,7,50,57,14,3,4,9,20,90,0.413,0.400,0.422,0.833,0.545,0.531,G,chrisma02
362,Garrett Temple,0.3,2022-23,36,NOP,14,0,109,13,30,5,11,8,19,3,4,2,8,10,7,9,1,3,11,37,0.433,0.455,0.421,0.750,0.582,0.567,G,templga01
363,Talen Horton-Tucker,0.3,2022-23,22,UTA,37,1,586,97,245,71,144,26,101,42,56,16,74,90,86,26,13,46,51,262,0.396,0.493,0.257,0.750,0.486,0.449,G-F,hortota01
364,Gary Payton II,0.3,2022-23,30,POR,6,0,98,10,14,6,8,4,6,0,0,1,15,16,12,7,0,6,15,24,0.714,0.750,0.667,,0.857,0.857,G,paytoga02
365,Kai Jones,0.3,2022-23,22,CHO,25,0,227,28,56,25,45,3,11,8,11,19,31,50,5,5,11,9,30,67,0.500,0.556,0.273,0.727,0.551,0.527,F-C,joneska01
366,JaVale McGee,0.3,2022-23,35,DAL,28,7,225,48,78,47,74,1,4,13,24,18,51,69,8,4,16,24,34,110,0.615,0.635,0.250,0.542,0.621,0.622,C,mcgeeja01
367,Nikola Jović,0.3,2022-23,19,MIA,15,8,204,28,69,20,34,8,35,18,19,9,22,31,10,7,2,10,19,82,0.406,0.588,0.229,0.947,0.530,0.464,G-F,jovicni01
368,Ousmane Dieng,0.3,2022-23,19,OKC,14,0,220,25,59,15,25,10,34,1,4,6,34,40,20,5,4,7,12,61,0.424,0.600,0.294,0.250,0.502,0.508,F,diengou01
369,MarJon Beauchamp,0.3,2022-23,22,MIL,32,9,497,70,177,36,72,34,105,18,25,32,49,81,22,15,2,32,52,192,0.395,0.500,0.324,0.720,0.511,0.492,G,beaucma01
370,Miles McBride,0.2,2022-23,22,NYK,33,2,443,41,121,20,42,21,79,13,19,8,16,24,35,20,1,14,31,116,0.339,0.476,0.266,0.684,0.448,0.426,G,mcbrimi01
371,Trent Forrest,0.2,2022-23,24,ATL,15,3,211,22,46,22,44,0,2,2,3,5,21,26,28,6,2,7,14,46,0.478,0.500,0.000,0.667,0.486,0.478,G,forretr01
372,Khem Birch,0.2,2022-23,30,TOR,20,0,162,19,32,18,30,1,2,4,5,8,17,25,7,5,5,8,24,43,0.594,0.600,0.500,0.800,0.629,0.609,C-F,birchkh01
373,Serge Ibaka,0.2,2022-23,33,MIL,16,0,185,26,54,20,36,6,18,8,13,15,29,44,4,2,7,11,23,66,0.481,0.556,0.333,0.615,0.553,0.537,F-C,ibakase01
374,Goran Dragić,0.2,2022-23,36,CHI,41,0,672,118,272,77,160,41,112,23,36,12,47,59,115,9,4,48,56,300,0.434,0.481,0.366,0.639,0.521,0.509,G,dragigo01
375,Tre Mann,0.2,2022-23,21,OKC,39,4,767,128,327,74,151,54,176,19,27,17,76,93,66,28,8,38,58,329,0.391,0.490,0.307,0.704,0.485,0.474,G,manntr01
376,Jeff Dowtin,0.2,2022-23,25,TOR,12,0,86,12,23,11,19,1,4,3,3,5,8,13,11,2,1,2,5,28,0.522,0.579,0.250,1.000,0.576,0.543,G,dowtije01
377,Theo Pinson,0.2,2022-23,27,DAL,23,0,127,12,34,3,10,9,24,8,9,3,24,27,13,2,0,4,9,41,0.353,0.300,0.375,0.889,0.540,0.485,G,pinsoth01
378,Brandon Boston Jr.,0.2,2022-23,21,LAC,16,0,154,28,76,18,53,10,23,20,26,6,15,21,13,6,0,5,9,86,0.368,0.340,0.435,0.769,0.492,0.434,G-F,bostobr01
379,Evan Fournier,0.2,2022-23,30,NYK,19,7,349,43,123,18,43,25,80,16,19,2,37,39,28,12,3,17,35,127,0.350,0.419,0.313,0.842,0.483,0.451,G-F,fournev01
380,Saben Lee,0.2,2022-23,23,PHIPHO,5,0,67,11,20,10,16,1,4,13,16,1,6,7,11,2,0,6,6,36,0.550,0.625,0.250,0.813,0.666,0.575,G,leesa01
381,Ziaire Williams,0.2,2022-23,21,MEM,17,1,303,45,102,32,53,13,49,9,10,7,43,50,17,8,4,21,35,112,0.441,0.604,0.265,0.900,0.526,0.505,F,willizi02
382,Nerlens Noel,0.2,2022-23,28,DET,12,3,142,12,27,11,25,1,2,4,6,7,27,34,7,13,9,6,22,29,0.444,0.440,0.500,0.667,0.489,0.463,C-F,noelne01
383,Jae'Sean Tate,0.2,2022-23,27,HOU,8,2,161,22,53,18,39,4,14,6,7,13,13,26,28,9,1,10,27,54,0.415,0.462,0.286,0.857,0.481,0.453,F,tateja01
384,Kennedy Chandler,0.2,2022-23,20,MEM,22,0,214,26,65,24,52,2,13,5,11,6,24,30,46,10,5,15,13,59,0.400,0.462,0.154,0.455,0.422,0.415,G,chandke01
385,Jaylin Williams,0.2,2022-23,20,OKC,13,5,160,20,49,16,35,4,14,6,10,11,40,51,15,5,1,8,30,50,0.408,0.457,0.286,0.600,0.468,0.449,F,willija07
386,Noah Vonleh,0.2,2022-23,27,BOS,23,1,171,11,24,10,20,1,4,2,2,18,30,48,7,2,8,11,35,25,0.458,0.500,0.250,1.000,0.502,0.479,F-C,vonleno01
387,Gorgui Dieng,0.2,2022-23,33,SAS,14,1,152,20,48,10,15,10,33,3,4,14,28,42,26,1,7,12,23,53,0.417,0.667,0.303,0.750,0.533,0.521,C,dienggo01
388,Will Barton,0.2,2022-23,32,WAS,36,0,726,97,259,51,133,46,126,30,38,8,92,100,90,16,9,40,38,270,0.375,0.383,0.365,0.789,0.490,0.463,G,bartowi01
389,Sandro Mamukelashvili,0.2,2022-23,23,MIL,19,0,168,15,45,9,20,6,25,7,12,12,32,44,14,2,3,6,14,43,0.333,0.450,0.240,0.583,0.428,0.400,C-F,mamuksa01
390,Gordon Hayward,0.2,2022-23,32,CHO,21,21,686,107,253,83,173,24,80,49,64,18,81,99,82,17,4,44,24,287,0.423,0.480,0.300,0.766,0.510,0.470,F-G,haywago01
391,Patrick Baldwin Jr.,0.2,2022-23,20,GSW,14,0,117,25,58,5,12,20,46,3,4,0,21,21,3,6,1,6,7,73,0.431,0.417,0.435,0.750,0.611,0.603,G-F,baldwpa01
392,Josh Minott,0.1,2022-23,20,MIN,7,0,16,3,5,3,4,0,1,4,4,2,3,5,2,1,2,0,2,10,0.600,0.750,0.000,1.000,0.740,0.600,F,minotjo01
393,Jalen Suggs,0.1,2022-23,21,ORL,20,13,488,75,183,53,99,22,84,35,50,19,40,59,85,25,11,50,49,207,0.410,0.535,0.262,0.700,0.505,0.470,G,suggsja01
394,Jaden Springer,0.1,2022-23,20,PHI,7,0,26,7,12,7,12,0,0,3,4,4,3,7,1,2,2,1,7,17,0.583,0.583,,0.750,0.618,0.583,G,sprinja01
395,Rodney McGruder,0.1,2022-23,31,DET,19,2,194,19,52,4,14,15,38,8,11,10,16,26,12,5,0,7,15,61,0.365,0.286,0.395,0.727,0.537,0.510,G,mcgruro01
396,Derrick Rose,0.1,2022-23,34,NYK,26,0,336,61,155,42,95,19,60,11,12,8,32,40,46,7,5,22,18,152,0.394,0.442,0.317,0.917,0.474,0.455,G,rosede01
397,Svi Mykhailiuk,0.1,2022-23,25,NYK,12,0,39,6,12,0,2,6,10,3,5,0,7,7,1,1,0,2,1,21,0.500,0.000,0.600,0.600,0.739,0.750,G-F,mykhasv01
398,Furkan Korkmaz,0.1,2022-23,25,PHI,24,0,253,32,78,20,43,12,35,19,29,6,23,29,18,6,3,15,10,95,0.410,0.465,0.343,0.655,0.523,0.487,G,korkmfu01
399,Payton Pritchard,0.1,2022-23,25,BOS,30,1,321,52,128,28,55,24,73,8,12,16,25,41,27,10,1,21,16,136,0.406,0.509,0.329,0.667,0.510,0.500,G,pritcpa01
400,Matthew Dellavedova,0.1,2022-23,32,SAC,19,0,112,10,26,5,14,5,12,1,3,1,5,6,23,6,0,6,12,26,0.385,0.357,0.417,0.333,0.476,0.481,G,dellama01
401,Cody Martin,0.1,2022-23,27,CHO,7,0,134,14,36,11,22,3,14,4,7,8,16,24,11,4,1,2,13,35,0.389,0.500,0.214,0.571,0.448,0.431,G-F,martico01
402,Tony Bradley,0.1,2022-23,25,CHI,9,0,25,4,7,2,3,2,4,2,2,1,9,10,1,1,0,1,1,12,0.571,0.667,0.500,1.000,0.761,0.714,F-C,bradlto01
403,Isaiah Roby,0.1,2022-23,24,SAS,32,1,342,48,109,34,62,14,47,13,29,13,63,76,31,13,6,19,36,123,0.440,0.548,0.298,0.448,0.505,0.505,F,robyis01
404,Khris Middleton,0.1,2022-23,31,MIL,7,7,171,25,77,14,36,11,41,17,19,1,17,18,31,4,1,11,18,78,0.325,0.389,0.268,0.895,0.457,0.396,F-G,middlkh01
405,McKinley Wright IV,0.1,2022-23,24,DAL,14,0,135,10,24,9,18,1,6,5,8,4,12,16,20,7,3,9,15,26,0.417,0.500,0.167,0.625,0.472,0.438,G,wrighmc01
406,Neemias Queta,0.1,2022-23,23,SAC,4,0,25,6,8,6,8,0,0,0,2,4,5,9,1,0,1,1,7,12,0.750,0.750,,0.000,0.676,0.750,C,quetane01
407,Dominick Barlow,0.1,2022-23,19,SAS,4,0,26,3,7,3,4,0,3,4,4,2,1,3,3,1,0,0,3,10,0.429,0.750,0.000,1.000,0.571,0.429,F,barlodo01
408,Bryce McGowens,0.1,2022-23,20,CHO,18,0,208,19,49,13,33,6,16,12,14,3,19,22,14,4,4,7,8,56,0.388,0.394,0.375,0.857,0.508,0.449,G-F,mcgowbr01
409,Kira Lewis Jr.,0.1,2022-23,21,NOP,5,0,41,8,17,7,13,1,4,8,8,1,5,6,1,1,0,3,5,25,0.471,0.538,0.250,1.000,0.609,0.500,G,lewiski01
410,Isaiah Mobley,0.1,2022-23,23,CLE,8,0,26,4,8,3,6,1,2,0,0,1,10,11,0,1,0,0,2,9,0.500,0.500,0.500,,0.563,0.563,F,mobleis01
411,Dru Smith,0.1,2022-23,25,MIA,5,1,67,5,14,4,8,1,6,0,0,1,8,9,5,4,3,1,10,11,0.357,0.500,0.167,,0.393,0.393,G,smithdr01
412,Justin Champagnie,0.1,2022-23,21,TOR,3,0,11,3,3,3,3,0,0,0,0,1,3,4,1,0,0,0,1,6,1.000,1.000,,,1.000,1.000,F,champju01
413,Ricky Rubio,0.1,2022-23,32,CLE,3,0,40,5,13,2,4,3,9,1,2,0,6,6,3,0,0,0,6,14,0.385,0.500,0.333,0.500,0.504,0.500,G,rubiori01
414,Cole Swider,0.1,2022-23,23,LAL,4,0,32,3,8,0,1,3,7,0,0,0,6,6,4,0,0,0,3,9,0.375,0.000,0.429,,0.563,0.563,F,swideco01
415,Vit Krejci,0.1,2022-23,22,ATL,17,0,107,10,26,5,9,5,17,1,2,2,9,11,10,2,1,3,10,26,0.385,0.556,0.294,0.500,0.484,0.481,G,krejcvi01
416,Kendall Brown,0.1,2022-23,19,IND,6,0,40,4,7,4,6,0,1,1,2,2,4,6,3,4,0,2,9,9,0.571,0.667,0.000,0.500,0.571,0.571,G-F,brownke03
417,Micah Potter,0.1,2022-23,24,UTA,3,0,14,2,2,2,2,0,0,0,0,1,2,3,2,0,0,0,2,4,1.000,1.000,,,1.000,1.000,C,pottemi01
418,Jason Preston,0.1,2022-23,23,LAC,9,0,70,9,23,5,11,4,12,0,2,1,10,11,16,1,0,4,5,22,0.391,0.455,0.333,0.000,0.461,0.478,G,prestja01
419,Tyler Dorsey,0.1,2022-23,26,DAL,3,0,8,4,5,3,3,1,2,0,0,1,1,2,0,0,0,0,0,9,0.800,1.000,0.500,,0.900,0.900,G,dorsety01
420,Jarrett Culver,0.1,2022-23,23,ATL,10,1,137,17,43,16,31,1,12,9,13,10,28,38,6,6,2,7,14,44,0.395,0.516,0.083,0.692,0.452,0.407,G,culveja01
421,Mamadi Diakite,0.1,2022-23,26,CLE,13,2,88,11,23,7,10,4,13,0,0,3,8,11,2,2,5,6,11,26,0.478,0.700,0.308,,0.565,0.565,F,diakima01
422,Terry Taylor,0.1,2022-23,23,IND,20,2,155,17,41,14,28,3,13,4,5,13,15,28,7,2,4,6,16,41,0.415,0.500,0.231,0.800,0.475,0.451,G-F,taylote01
423,Vince Williams Jr.,0.1,2022-23,22,MEM,8,0,44,3,11,2,3,1,8,0,0,1,4,5,3,4,1,0,5,7,0.273,0.667,0.125,,0.318,0.318,F,willivi01
424,Justin Holiday,0.1,2022-23,33,ATL,27,0,405,46,122,17,37,29,85,0,0,2,21,23,24,5,10,12,36,121,0.377,0.459,0.341,,0.496,0.496,F,holidju01
425,Blake Wesley,0.1,2022-23,19,SAS,4,0,39,9,14,6,10,3,4,2,4,1,3,4,5,0,0,4,7,23,0.643,0.600,0.750,0.500,0.730,0.750,G,weslebl01
426,Braxton Key,0.0,2022-23,25,DET,3,0,9,1,1,1,1,0,0,2,2,0,1,1,0,0,0,0,0,4,1.000,1.000,,1.000,1.064,1.000,F,keybr01
427,Jordan Schakel,0.0,2022-23,24,WAS,2,0,6,1,2,0,1,1,1,0,0,0,0,0,1,1,0,0,1,3,0.500,0.000,1.000,,0.750,0.750,F,schakjo01
428,Mfiondu Kabengele,0.0,2022-23,25,BOS,1,0,8,1,2,1,1,0,1,0,0,3,1,4,0,0,0,0,1,2,0.500,1.000,0.000,,0.500,0.500,F,kabenmf01
429,Alex Len,0.0,2022-23,29,SAC,10,1,40,5,10,5,9,0,1,3,4,3,10,13,3,0,0,3,7,13,0.500,0.556,0.000,0.750,0.553,0.500,C,lenal01
430,Matt Ryan,0.0,2022-23,25,LALMIN,24,0,223,27,80,5,21,22,59,8,9,4,17,21,8,4,1,6,18,84,0.338,0.238,0.373,0.889,0.500,0.475,F,ryanma01
431,Wendell Moore Jr.,0.0,2022-23,21,MIN,17,2,98,13,29,11,17,2,12,4,5,2,11,13,9,5,3,7,11,32,0.448,0.647,0.167,0.800,0.513,0.483,G-F,moorewe01
432,Keon Ellis,0.0,2022-23,23,SAC,5,0,11,1,2,0,0,1,2,0,0,0,2,2,1,0,0,0,2,3,0.500,,0.500,,0.750,0.750,G,elliske01
433,Ron Harper Jr.,0.0,2022-23,22,TOR,2,0,8,2,4,0,1,2,3,0,0,0,1,1,0,0,0,0,0,6,0.500,0.000,0.667,,0.750,0.750,G-F,harpero02
434,Jaden Hardy,0.0,2022-23,20,DAL,18,0,200,41,99,30,58,11,41,24,29,1,21,22,12,4,2,10,26,117,0.414,0.517,0.268,0.828,0.523,0.470,G,hardyja02
435,PJ Dozier,0.0,2022-23,26,SAC,3,0,7,1,2,0,0,1,2,0,0,0,1,1,0,1,0,0,0,3,0.500,,0.500,,0.750,0.750,G,doziepj01
436,Davon Reed,0.0,2022-23,27,DEN,29,1,258,20,62,7,25,13,37,13,18,7,34,41,16,8,4,14,28,66,0.323,0.280,0.351,0.722,0.472,0.427,G,reedda01
437,A.J. Lawson,0.0,2022-23,22,DALMIN,8,0,22,4,10,2,4,2,6,1,1,0,4,4,1,0,0,0,2,11,0.400,0.500,0.333,1.000,0.527,0.500,G,lawsoaj01
438,Trevor Hudgins,0.0,2022-23,23,HOU,1,0,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1.000,,1.000,,1.500,1.500,G,hudgitr01
439,Sterling Brown,0.0,2022-23,27,LAL,4,0,24,0,4,0,2,0,2,0,0,3,5,8,2,3,0,0,4,0,0.000,0.000,0.000,,0.000,0.000,G,brownst02
440,Kenneth Lofton Jr.,0.0,2022-23,20,MEM,6,0,24,7,15,7,13,0,2,1,3,1,3,4,4,0,0,1,3,15,0.467,0.538,0.000,0.333,0.460,0.467,F,loftoke01
441,John Butler,0.0,2022-23,20,POR,4,0,15,1,3,1,1,0,2,0,0,1,1,2,1,0,1,0,0,2,0.333,1.000,0.000,,0.333,0.333,C,butlejo01
442,Dereon Seabron,0.0,2022-23,22,NOP,4,0,8,2,4,2,4,0,0,0,0,1,0,1,0,0,0,0,1,4,0.500,0.500,,,0.500,0.500,G,seabrde01
443,Andre Iguodala,0.0,2022-23,39,GSW,3,0,42,3,4,2,2,1,2,0,0,1,6,7,5,1,1,5,5,7,0.750,1.000,0.500,,0.875,0.875,G-F,iguodan01
444,Simone Fontecchio,0.0,2022-23,27,UTA,23,0,203,28,75,9,21,19,54,9,14,10,15,25,8,3,5,12,21,84,0.373,0.429,0.352,0.643,0.517,0.500,F,fontesi01
445,JT Thor,0.0,2022-23,20,CHO,32,0,340,31,83,18,36,13,47,13,18,15,40,55,14,6,8,14,23,88,0.373,0.500,0.277,0.722,0.484,0.452,F,thorjt01
446,Jack White,0.0,2022-23,25,DEN,11,0,34,3,9,2,6,1,3,0,0,3,4,7,0,1,2,1,5,7,0.333,0.333,0.333,,0.389,0.389,F,whiteja03
447,Malcolm Hill,0.0,2022-23,27,CHI,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,F,hillma01
448,Justin Jackson,0.0,2022-23,27,BOS,19,0,83,5,22,1,6,4,16,1,2,2,7,9,8,4,4,2,6,15,0.227,0.167,0.250,0.500,0.328,0.318,G-F,jacksju01
449,Michael Foster Jr.,0.0,2022-23,20,PHI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,F,fostemi02
450,Buddy Boeheim,0.0,2022-23,23,DET,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,G,boehebu01
451,Ryan Arcidiacono,0.0,2022-23,28,NYK,10,0,25,1,5,0,2,1,3,0,0,0,4,4,2,2,0,1,3,3,0.200,0.000,0.333,,0.300,0.300,G,arcidry01
452,Rudy Gay,0.0,2022-23,36,UTA,32,0,479,53,150,36,74,17,76,16,21,20,76,96,24,15,12,20,39,139,0.353,0.486,0.224,0.762,0.436,0.410,F,gayru01
453,Facundo Campazzo,0.0,2022-23,31,DAL,8,0,52,3,13,0,2,3,11,1,2,0,2,2,9,6,0,3,3,10,0.231,0.000,0.273,0.500,0.360,0.346,G,campafa01
454,Tyrese Martin,0.0,2022-23,23,ATL,11,0,42,6,16,5,11,1,5,2,2,2,4,6,0,1,0,1,2,15,0.375,0.455,0.200,1.000,0.444,0.406,G,martity01
455,Trevor Keels,0.0,2022-23,19,NYK,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.000,,0.000,,0.000,0.000,G,keelstr01
456,Vernon Carey Jr.,0.0,2022-23,21,WAS,7,0,15,1,3,1,3,0,0,0,0,1,4,5,1,1,2,2,2,2,0.333,0.333,,,0.333,0.333,C,careyve01
457,Jared Rhoden,0.0,2022-23,23,DET,1,0,12,1,3,1,2,0,1,0,0,0,1,1,0,0,0,0,3,2,0.333,0.500,0.000,,0.333,0.333,G,rhodeja01
458,Marko Simonovic,0.0,2022-23,23,CHI,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000,,0.000,,0.000,0.000,C,simonma01
459,Devon Dotson,0.0,2022-23,23,WAS,6,0,53,1,10,0,6,1,4,0,0,6,4,10,8,5,0,3,9,3,0.100,0.000,0.250,,0.150,0.150,G,dotsode01
460,Jeremy Sochan,0.0,2022-23,19,SAS,39,36,1002,146,319,129,240,17,79,41,65,61,127,188,93,33,18,69,105,350,0.458,0.538,0.215,0.631,0.503,0.484,F,sochaje01
461,Scotty Pippen Jr.,0.0,2022-23,22,LAL,5,0,26,3,10,2,7,1,3,4,7,2,2,4,1,2,1,2,3,11,0.300,0.286,0.333,0.571,0.420,0.350,G,pippesc02
462,Julian Champagnie,0.0,2022-23,21,PHI,2,0,7,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,,0.000,0.000,F,champju02
463,Johnny Davis,0.0,2022-23,20,WAS,10,0,50,4,13,4,10,0,3,3,3,1,6,7,2,0,1,1,12,11,0.308,0.400,0.000,1.000,0.384,0.308,G,davisjo06
464,Greg Brown III,0.0,2022-23,21,POR,14,0,84,11,24,10,18,1,6,5,12,2,16,18,1,4,5,6,11,28,0.458,0.556,0.167,0.417,0.478,0.479,F,browngr01
465,Peyton Watson,0.0,2022-23,20,DEN,6,0,15,3,9,3,8,0,1,0,0,2,1,3,0,0,0,0,1,6,0.333,0.375,0.000,,0.333,0.333,G-F,watsope01
466,Isaiah Todd,0.0,2022-23,21,WAS,4,0,13,1,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0.250,1.000,0.000,,0.250,0.250,F,toddis01
467,Chima Moneke,0.0,2022-23,27,SAC,2,0,8,1,2,1,2,0,0,0,2,2,0,2,1,0,0,2,2,2,0.500,0.500,,0.000,0.347,0.500,F,monekch01
468,Dalen Terry,0.0,2022-23,20,CHI,16,0,54,5,14,4,10,1,4,3,4,0,4,4,7,1,2,4,4,14,0.357,0.400,0.250,0.750,0.444,0.393,G,terryda01
469,Alondes Williams,-0.1,2022-23,23,BRK,1,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,,,,,,,G,willial06
470,Alize Johnson,-0.1,2022-23,26,SAS,4,0,30,3,6,3,4,0,2,1,2,2,8,10,1,1,0,4,3,7,0.500,0.750,0.000,0.500,0.509,0.500,F,johnsal02
471,JD Davison,-0.1,2022-23,20,BOS,4,0,10,1,5,1,3,0,2,0,0,0,2,2,1,1,0,1,0,2,0.200,0.333,0.000,,0.200,0.200,G,davisjd01
472,James Johnson,-0.1,2022-23,35,IND,11,1,92,9,25,7,16,2,9,0,0,1,12,13,7,3,5,5,22,20,0.360,0.438,0.222,,0.400,0.400,F,johnsja01
473,Trevelin Queen,-0.1,2022-23,25,IND,3,0,29,1,8,1,2,0,6,3,3,2,3,5,3,1,2,3,1,5,0.125,0.500,0.000,1.000,0.268,0.125,G,queentr01
474,Bryn Forbes,-0.1,2022-23,29,MIN,22,0,235,25,74,15,35,10,39,13,13,4,9,13,14,7,1,9,19,73,0.338,0.429,0.256,1.000,0.458,0.405,G,forbebr01
475,Udonis Haslem,-0.1,2022-23,42,MIA,5,1,36,1,10,1,9,0,1,1,2,3,3,6,0,1,1,0,7,3,0.100,0.111,0.000,0.500,0.138,0.100,F-C,hasleud01
476,TyTy Washington Jr.,-0.1,2022-23,21,HOU,13,0,140,17,50,14,27,3,23,3,6,1,15,16,17,5,0,4,15,40,0.340,0.519,0.130,0.500,0.380,0.370,G,washity02
477,Kessler Edwards,-0.1,2022-23,22,BRK,13,1,74,6,22,4,11,2,11,1,2,6,8,14,2,3,1,4,3,15,0.273,0.364,0.182,0.500,0.328,0.318,F,edwarke02
478,Jordan Hall,-0.1,2022-23,21,SAS,9,0,83,9,28,6,13,3,15,7,9,3,9,12,11,1,0,7,6,28,0.321,0.462,0.200,0.778,0.438,0.375,G-F,halljo02
479,Joshua Primo,-0.1,2022-23,20,SAS,4,0,93,9,26,6,14,3,12,7,9,2,11,13,18,1,2,11,8,28,0.346,0.429,0.250,0.778,0.467,0.404,G,primojo01
480,Cade Cunningham,-0.1,2022-23,21,DET,12,12,400,93,224,76,163,17,61,36,43,12,62,74,72,10,7,39,34,239,0.415,0.466,0.279,0.837,0.492,0.453,G,cunnica01
481,Thanasis Antetokounmpo,-0.1,2022-23,30,MIL,20,0,86,3,14,3,10,0,4,3,6,6,13,19,3,2,3,7,8,9,0.214,0.300,0.000,0.500,0.270,0.214,F,antetth01
482,Frank Ntilikina,-0.2,2022-23,24,DAL,26,2,352,28,77,18,33,10,44,10,15,4,35,39,33,7,3,19,40,76,0.364,0.545,0.227,0.667,0.455,0.429,G,ntilila01
483,Daishen Nix,-0.2,2022-23,20,HOU,35,1,491,38,107,14,34,24,73,17,25,11,42,53,83,24,3,48,31,117,0.355,0.412,0.329,0.680,0.496,0.467,G,nixda01
484,Jaden Ivey,-0.2,2022-23,20,DET,43,42,1298,223,544,165,365,58,179,147,202,44,134,178,184,40,10,120,131,651,0.410,0.452,0.324,0.728,0.514,0.463,G,iveyja01
485,David Duke Jr.,-0.2,2022-23,23,BRK,14,0,126,19,43,19,37,0,6,4,8,6,9,15,12,5,1,13,23,42,0.442,0.514,0.000,0.500,0.451,0.442,G,dukeda01
486,Ish Smith,-0.2,2022-23,34,DEN,20,0,163,21,53,19,47,2,6,1,2,1,15,16,33,5,6,18,12,45,0.396,0.404,0.333,0.500,0.418,0.415,G,smithis01
